file,RT20,RT30,EDT,C50,C80,D50,D80
"27_T2 Hangar, Yorkshire Air Museum (AM_spist_S2R1).wav",4.137701366030563,4.249396316212246,6.591231724165733,-7.819686,-5.5276017,0.14178422,0.2187822
29_Falkland Palace Bottle Dungeon.wav,1.7051064817719515,1.901911874880917,1.1191076851337052,0.6339544,3.394765,0.5364287,0.68604064
"26_Ron Cooke Hub, University of York( fsfr).wav",1.478247567614986,1.498486641730038,1.3612729743946839,0.23220687,2.671269,0.5133637,0.6490993
08_hamilton-mausoleum.wav,13.363300679548106,15.409614006711799,8.79099392189113,-0.49651098,0.3491564,0.47144964,0.52008826
17_tyndall_bruce_b_format.wav,1.4918348597000601,1.7508547064265636,0.5627710913688818,9.005145,9.827465,0.8883018,0.90575385
"06_Arthur Sykes Rymer Auditorium, University of York (s1r2).wav",0.33584452534633036,0.3521264611261321,0.18830134120435488,15.325955,21.158222,0.97150004,0.9923993
25_Hoffmann Lime Kiln (ir_p1).wav,0.7981202819125258,1.0412408247110219,0.46644361085311686,6.244922,9.510694,0.80813646,0.89934057
12_Innocent Railway Tunnel (middle_tunnel_4way_bformat).wav,1.3829145987917721,2.0496336622107325,0.8089667813462641,1.974241,5.283573,0.6117289,0.77146244
02_Usina del Arte Symphony (ir_w_m5.s1).wav,1.839466182381096,1.9463032681124992,11.276783629036085,-3.7276626,-0.46876436,0.29768923,0.47304195
"16_Tvísöngur Sound Sculpture, Iceland (source1domefareceiver2domelabformat).wav",1.559469922213707,1.6687617220711146,1.5349143250078539,0.6337061,2.987102,0.53641444,0.6654785
49_theatre41_HR05_bformatIR_48k.wav,0.7256445896036573,0.7612651597479685,0.5503708077651727,6.0477695,9.292868,0.80099905,0.8947081
21_newgrange_s6r1.wav,0.2295363839674298,0.2792101916374246,33.37557051044007,23.77102,29.672258,0.99582106,0.99892306
19_clifford_tower_S1R1_Bformat.wav,2.313602232677273,2.455443284687781,1.4687035083685946,1.6872908,3.3887365,0.59592474,0.68574166
39_Genesis 6 Studio – Live Room Drum Set Up (crash_ir).wav,0.2125816160649913,0.22833502596795888,0.22318636335303466,14.234291,22.655327,0.9636511,0.99460346
"31_St. Patrick’s Church, Patrington v (soundfield_s1r1).wav",1.6826526010663228,1.727134577573961,1.53312790446971,0.4055643,2.5995386,0.5233292,0.6453281
"28_Arthur Sykes Rymer Auditorium, University of York (s2r4).wav",0.34274510412157244,0.36819560892019637,0.36887416214998,14.639061,19.641685,0.9667782,0.9892566
"40_Lady Chapel, St Albans Cathedral.wav",2.116241350239218,2.319920158494991,1.2879573336612304,5.060376,6.547751,0.7622753,0.81871647
11_Hendrix-Hall-UoY (IR_EigenmikeHHR2_processed_Bformat).wav,0.853608787558597,1.1402434352136097,0.5642551400291432,5.29723,9.247833,0.77201647,0.8937273
09_York Guildhall Council Chamber (councilchamber_s3_r4_ir_1_96000).wav,0.8706171069938214,0.878010172342271,0.8124250900431959,2.7047083,5.8867474,0.65085095,0.79502296
47_York Guildhall Council Chamber (councilchamber_s1_r1_ir_1_96000).wav,0.8788414725192895,0.8876816812068128,0.805666007787229,1.4525361,4.677809,0.5828438,0.7459457
04_Hendrix-Hall-UoY (IR_EigenmikeHHB1_processed_Bformat).wav,0.7097498030228317,0.8878163646401981,0.3800813878368141,9.425406,12.792874,0.8975487,0.9500583
15_The Dixon Studio Theatre (r1_rir_bformat).wav,1.0591690179710957,1.1023433606744053,0.9445695550693947,0.47131184,3.2681978,0.5271044,0.6797299
03_Hoffmann Lime Kiln (ir_p2).wav,0.8185195543810303,1.0623617839399455,0.5107720227014964,5.750245,9.28108,0.7898534,0.8944522
"07_Spring Lane Building, University of York (sp1_mp1_ir_bformat_trimmed).wav",1.2622148222839886,1.4466117517833035,0.7551224534125739,1.9995487,5.853234,0.6131121,0.7937626
46_newgrange_s1r1.wav,0.21478866503574962,0.25455348029461167,2.171437527301991,21.325655,28.00037,0.9926847,0.99841785
05_St Andrew’s Church.wav,1.3702812222363043,1.3903897500317002,1.0536512589990223,3.6200879,5.189324,0.69710624,0.76761377
"41_Sports Centre, University of York.wav",5.583760861900197,6.106061716520462,4.993117156212038,-3.4138691,-2.4412014,0.3130126,0.36305994
34_terrys_typing_b_format.wav,2.2463371723353402,2.472850246155393,1.3490652105428746,2.3660548,3.9161901,0.6329294,0.7113062
33_Heslington Church.wav,1.602940992884497,1.6287792828498349,1.4476006556662937,-2.4805608,0.5250101,0.36096683,0.5301852
43_theatre41_HR01_bformatIR_48k.wav,0.7253624949243308,0.7615398555991397,0.5509291426670936,6.278772,9.504069,0.8093421,0.8992023
30_gill-heads-mine.wav,0.2522150414048642,0.461674979008618,0.20705491806887857,16.26365,22.355177,0.9769064,0.99421936
"14_Central Hall, University of York ir_centre_stalls.wav",1.0476384363722766,1.0820179884590133,1.03280522653656,2.9296389,4.791127,0.6625266,0.7508588
32_St. Paul’s Cathedral (bformat_P1 - S Dome R Nave Average).wav,9.504522434498169,10.917100446134164,6.257419715245759,-1.05885,-0.44797534,0.43934783,0.4742353
