Sound,Color_1,Color_2,Color_3,Color_4,Spatiality_1,Spatiality_2,Spatiality_3,Spatiality_4,Composition_1,Composition_2,Composition_3,Composition_4,Shape_1,Shape_2,Shape_3,Shape_4,Material_1,Material_2,Material_3,Material_4
00,0.203,0.462,,,0.49,0.927,,,0.208,0.793,,,0.384,0.759,,,0.322,0.693,,
01,0.412,0.34,,,0.23,0.298,,,0.309,0.301,,,1.0,0.616,,,0.219,0.353,,
02,0.663,1.0,,,0.398,0.915,,,0.42,0.33,,,0.728,0.906,,,0.4,0.134,,
03,0.062,0.241,,,0.381,0.25,,,0.34,0.13,,,0.275,0.017,,,0.353,0.524,,
04,0.111,0.437,0.559,,0.821,0.714,0.793,,0.326,0.77,0.698,,0.708,0.733,0.748,,0.668,0.711,0.261,
05,0.233,0.617,1.0,,0.457,0.8,1.0,,0.245,0.296,0.824,,0.652,0.223,0.784,,0.493,0.794,1.0,
06,0.51,0.081,1.0,,0.55,0.036,0.854,,0.495,0.234,0.252,,0.008,0.017,0.389,,0.762,0.676,0.514,
07,0.113,0.272,0.287,,0.538,0.289,0.294,,0.155,0.961,1.0,,1.0,0.951,0.346,,1.0,0.829,0.0,
08,0.713,0.209,0.846,,0.361,0.939,0.5,,0.076,0.037,0.291,,0.208,0.972,0.456,,0.393,0.645,0.173,
09,0.692,0.5,0.828,0.0,0.263,0.584,0.0,0.128,0.033,0.408,0.237,0.344,0.207,0.496,1.0,0.802,0.928,0.5,1.0,0.674
10,0.0,0.227,0.857,,1.0,0.172,0.934,,0.0,0.863,0.116,,0.0,0.819,0.544,,0.393,0.776,0.793,
11,0.98,0.363,0.342,,0.333,0.744,0.312,,0.74,0.119,0.13,,0.2,0.734,0.534,,0.662,0.476,0.291,
12,0.417,0.931,,,1.0,0.683,,,0.337,0.937,,,0.062,0.823,,,0.37,0.886,,
13,0.716,0.007,,,0.702,0.973,,,0.0,0.0,,,0.706,0.219,,,0.744,0.224,,
14,0.142,0.867,,,0.631,0.715,,,0.119,0.94,,,0.357,0.862,,,0.119,0.339,,
15,1.0,0.611,,,0.104,0.806,,,0.149,1.0,,,0.748,0.281,,,0.809,0.751,,
